"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PITX1",2440.58728795133,7.11783731875829,0.23641481759775,30.1074077804589,3.87586593636914e-199,1.00772514345598e-197
"LOC107525399",90640.6535015617,-0.919033166166681,0.0849273392553515,-10.8214053828228,2.72565382353665e-27,3.54334997059765e-26
"RPS27",50273.7149653639,-0.770261543992226,0.0812380860919393,-9.48153238273611,2.50575863783752e-21,2.17165748612585e-20
"TGFBI",19093.3292036055,0.654990028821623,0.0996386977330632,6.57365103843862,4.90962213000587e-11,3.19125438450382e-10
"SEC24A",30283.5565494656,-0.421171470517696,0.0856741018102223,-4.91597182367477,8.83431041978059e-07,4.59384141828591e-06
"PPP2CA",72575.2123312805,-0.386572333752287,0.0854131675033919,-4.52591029055252,6.01360875126705e-06,2.60589712554906e-05
"SKP1",37858.6385010135,-0.302774590635492,0.0859314718112267,-3.52344239256862,0.000425979687812076,0.00158221026901628
"CATSPER3.1",8311.93471142574,0.379403544592476,0.122542998479418,3.09608504198793,0.00196094112682008,0.00637305866216527
"LOC107525378",12900.9774970523,0.298214297687611,0.109401673113088,2.72586596897241,0.00641330351181932,0.0173109398398578
"SAR1B",12281.134612085,-0.292846214166118,0.107922736739148,-2.71348024535307,0.00665805378456069,0.0173109398398578
"AFF4.1",59732.2327074028,-0.227048199587538,0.0873276907733596,-2.59995652669659,0.00932355710726921,0.0220374986171818
"FBXL21P",3443.24331854662,-0.412964298426719,0.172350974770501,-2.39606592870516,0.0165721092091154,0.03590623661975
"CAMLG",7510.78201389081,-0.259465502606121,0.117267344454333,-2.21259809210708,0.0269253666918661,0.0538507333837321
"HSPA4",20647.6967759108,0.183364649280646,0.0944219939584252,1.94196967881639,0.0521407710696451,0.0968328605579123
"UBE2B",4325.12985580127,-0.249500528707477,0.140184331741925,-1.77980324624865,0.0751081661798075,0.130187488045
"FSTL4",20.0141257642051,-3.35466163513191,1.99150517940798,-1.68448551870157,0.0920878757927863,NA
"SHROOM1",2043.32632800263,0.236301063112499,0.187007487430781,1.26359145486067,0.206376702242675,0.328168553241191
"JADE2",2977.91429319032,0.209413302639425,0.168733094991168,1.24109204925321,0.21457174635001,0.328168553241191
"CATSPER3",3064.83552602777,0.20019495763513,0.170206981119176,1.17618534985329,0.239520817448655,0.345974514092502
"VDAC1",24610.3532848292,0.110500697902387,0.102208789836553,1.08112715236228,0.279640556830766,0.382666025136838
"CXCL14",1546.69152026523,0.214850948940584,0.233689292335278,0.919387220499318,0.357893071267746,NA
"LOC107525429",2491.13553391365,0.137303784974658,0.17227107237179,0.797021711679682,0.425438421878921,0.553069948442597
"AFF4",4635.7540185391,0.0860491844995878,0.135807090994188,0.63361333984593,0.52633319289141,0.651650619770317
"FSTL4.1",30.5339131576419,-0.799553675098926,1.40721670722423,-0.568180914136575,0.569912129767716,NA
"DDX46",20588.8838290006,-0.0472430628705121,0.0922889623678315,-0.511903716960407,0.608718396657996,0.707336458291781
"HSPA4.1",15493.6494474286,0.0472561823151605,0.0968843298938123,0.48775877757481,0.625720713104268,0.707336458291781
"SLC25A48",115.27006746685,0.290499209964333,0.72215643490482,0.402266317827135,0.687488040213503,NA
"SMAD5",18848.3900631709,0.0363864454725329,0.0974998769152752,0.373194783662669,0.709003478235058,0.768087101421312
"TCF7",204.454159346901,0.187908896963705,0.545022531437205,0.344772713282506,0.730265248353538,NA
"GDF9",654.90914712467,-0.0760731434305079,0.315546895376991,-0.24108347933394,0.809490416783401,NA
"TXNDC15",7857.66852473443,-0.0206250623918312,0.114500741679844,-0.180130382469495,0.857050210951349,0.891332219389403
"CDKL3",528.764752906314,-0.0439365165721438,0.345633394974192,-0.127118840977228,0.898846339490714,NA
"CDKN2AIPNL",1845.26965707027,0.013602562199358,0.196041622121529,0.0693860928722861,0.944682298519118,0.944682298519118
"SLC25A48.1",690.234749713189,0.0131500181630008,0.321406309485557,0.0409140012965168,0.967364455373669,NA
