"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"CXCL14",1546.69152026523,0.20381081479251,0.227893591862725,0.357893071267746,NA
"LOC107525378",12900.9774970523,0.294694552276215,0.108826712091154,0.00641330351181932,0.0173109398398578
"PITX1",2440.58728795133,7.1030371534571,0.236519366483414,3.87586593636914e-199,1.00772514345598e-197
"CATSPER3",3064.83552602777,0.194405485779303,0.167751874320106,0.239520817448655,0.345974514092502
"TXNDC15",7857.66852473443,-0.0154104622658262,0.113595374334382,0.857050210951349,0.891332219389403
"DDX46",20588.8838290006,-0.0456004912943936,0.0918134309526497,0.608718396657996,0.707336458291781
"CAMLG",7510.78201389081,-0.249033576925179,0.116399322659615,0.0269253666918661,0.0538507333837321
"SEC24A",30283.5565494656,-0.41764811835595,0.0853919703901577,8.83431041978059e-07,4.59384141828591e-06
"SAR1B",12281.134612085,-0.282485515084706,0.107326792517654,0.00665805378456069,0.0173109398398578
"JADE2",2977.91429319032,0.20268306112925,0.166268965162756,0.21457174635001,0.328168553241191
"CDKN2AIPNL",1845.26965707027,0.0135432049714558,0.191576721713552,0.944682298519118,0.944682298519118
"UBE2B",4325.12985580127,-0.243465481229328,0.138701473443429,0.0751081661798075,0.130187488045
"CDKL3",528.764752906314,-0.0372620379584038,0.322678307273601,0.898846339490714,NA
"RPS27",50273.7149653639,-0.783093239445874,0.0810499617195187,2.50575863783752e-21,2.17165748612585e-20
"PPP2CA",72575.2123312805,-0.380866644532346,0.0851850386562983,6.01360875126705e-06,2.60589712554906e-05
"TCF7",204.454159346901,0.14183622515844,0.468466940507986,0.730265248353538,NA
"SKP1",37858.6385010135,-0.298439448396772,0.0855112895164262,0.000425979687812076,0.00158221026901628
"VDAC1",24610.3532848292,0.117022413968301,0.101728895072485,0.279640556830766,0.382666025136838
"LOC107525399",90640.6535015617,-0.913356194272827,0.0849082053904845,2.72565382353665e-27,3.54334997059765e-26
"FSTL4",20.0141257642051,-0.456238844606106,0.998236348910229,0.0920878757927863,NA
"FSTL4.1",30.5339131576419,-0.235840467416264,0.790250023939378,0.569912129767716,NA
"HSPA4",20647.6967759108,0.181959812162032,0.093975363336892,0.0521407710696451,0.0968328605579123
"HSPA4.1",15493.6494474286,0.0489291024460416,0.0963317273154736,0.625720713104268,0.707336458291781
"AFF4",4635.7540185391,0.0852072786229473,0.134331404535012,0.52633319289141,0.651650619770317
"SHROOM1",2043.32632800263,0.229533864999654,0.183482690850736,0.206376702242675,0.328168553241191
"AFF4.1",59732.2327074028,-0.225374030097273,0.0870429236054754,0.00932355710726921,0.0220374986171818
"SMAD5",18848.3900631709,0.0361257874119645,0.0969804010520069,0.709003478235058,0.768087101421312
"TGFBI",19093.3292036055,0.653101433410441,0.0994364460832972,4.90962213000587e-11,3.19125438450382e-10
"FBXL21P",3443.24331854662,-0.399082760488258,0.170647647314686,0.0165721092091154,0.03590623661975
"SLC25A48",115.27006746685,0.180227878639466,0.570478618830451,0.687488040213503,NA
"CATSPER3.1",8311.93471142574,0.372025250834214,0.121802441365873,0.00196094112682008,0.00637305866216527
"GDF9",654.90914712467,-0.0667741018181479,0.298179411266367,0.809490416783401,NA
"LOC107525429",2491.13553391365,0.132938809637805,0.169294619522757,0.425438421878921,0.553069948442597
"SLC25A48.1",690.234749713189,0.00748379439632211,0.303941638582159,0.967364455373669,NA
